¿En qué deporte se usa tiza?,billar
¿Qué instrumento musical tiene nombre y forma geométricos?,triangulo
¿Cuál es el único mamífero que no puede saltar?,elefante
De donde es originario la musica reggea,Jamaica
¿Cuantos estados tiene la Republica Mexicana?,32
Año en que se estreno la película Ciudad de Dios,2002
En que año se fundo el equipo de futbol Pumas UNAM,1954
¿Quien descubrió America?,Cristobal Colon
¿Nombre de nacimiento de Sor Juana Ines de la Cruz?,Juana Ines de Asbaje y Ramirez de Santillana
¿director de la película amores perros?,Alejandro Gonzalez Iñarritu
 
