¿Cómo se llama el más chiquito de los enanos de Blanca Nieves?,Gruñón,Timido,Tontin,3
¿Cuántos goles anotó México en el Campeonato Mundial de Futbol México 1986?10,6,4,2
¿En qué país se baila y canta la samba?,Brasil,Colombia,Mexico,1
Nombre de la niña que visitó “El País de las Maravillas” en el cuento del mismo nombre.,Rosa,Alicia,Georgina,2
¿Quién anotó con la mano un gol en el Mundial de México 86?,Pele,Figo,Maradona,3
¿Qué país fue el primero en organizar un mundial de futbol de 24 equipos?,España,Argentina,Mexico,1
¿Cómo se llama toda colección de animales acuáticos vivos?,Acuario,Terrario,Paisaje,1
¿Qué animal se tragó a Gepetto y a Pinocho?,Lobo,Hormiga,Ballena,3
¿Quién es el mejor amigo del reportero Jimmy Olsen?,Bruno Diaz,Clark Kent,El Santo,2
¿Cuál es la primera de las notas musicales?,Si,Re,Do,3
