Deidad del México antiguo conocida como la Serpiente Emplumada,Coatlicue,Huitzilopochtli,Quetzalcóatl,3
Cultura que se desarrolló en la ciudad de Palenque:,Maya,Mexica,Olmeca,1
Manuscrito en papel amate o sobre cuero con representaciones pictóricas que relataba asuntos históricos y religiosos del México antiguo:,Libro,Códice,Jeroglífico,2
Año en que los españoles conquistaron México Tenochtitlán:,1521,1555,1650,1
El mineral que más se extraía en la Nueva España era:,El cobre,Oro,Plata,3
Nombre de la poetisa más importante de la época novohispana:,Sor Juana Inés de la Cruz,La Malinche,Tonantzin,1
En México el 5 de mayo se celebra:,La promulgación de la Constitución,La Revolución mexicana,La Batalla de Puebla,3
La Guerra de Reforma fue entre:,México y Estados Unidos,Liberales y conservadores,El Ejército mexicano y el Ejército francés,2
El lema “Sufragio efectivo no reelección” fue la bandera política de:,Francisco I. Madero,Benito Juárez,Plutarco E. Calles,1
En el himno nacional, la expresión “Mas si osare un extraño enemigo” significa:,Son peores que osos nuestros enemigos,Abundan los huesos de nuestros enemigos,Pero si se atreviera un enemigo extranjero,3
